yearID2020,lgID2020,teamID2020,franchID2020,divID2020,Rank2020,G2020,Ghome2020,W2020,L2020,DivWin2020,WCWin2020,LgWin2020,WSWin2020,R2020,AB2020,H2020,2B2020,3B2020,HR2020,BB2020,SO2020,SB2020,CS2020,HBP2020,SF2020,RA2020,ER2020,ERA2020,CG2020,SHO2020,SV2020,IPouts2020,HA2020,HRA2020,BBA2020,SOA2020,E2020,DP2020,FP2020,name2020,park2020,attendance2020,BPF2020,PPF2020,teamIDBR2020,teamIDlahman452020,teamIDretro2020,yearID2019,lgID2019,teamID2019,franchID2019,divID2019,Rank2019,G2019,Ghome2019,W2019,L2019,DivWin2019,WCWin2019,LgWin2019,WSWin2019,R2019,AB2019,H2019,2B2019,3B2019,HR2019,BB2019,SO2019,SB2019,CS2019,HBP2019,SF2019,RA2019,ER2019,ERA2019,CG2019,SHO2019,SV2019,IPouts2019,HA2019,HRA2019,BBA2019,SOA2019,E2019,DP2019,FP2019,name2019,park2019,attendance2019,BPF2019,PPF2019,teamIDBR2019,teamIDlahman452019,teamIDretro2019,yearID2018,lgID2018,teamID2018,franchID2018,divID2018,Rank2018,G2018,Ghome2018,W2018,L2018,DivWin2018,WCWin2018,LgWin2018,WSWin2018,R2018,AB2018,H2018,2B2018,3B2018,HR2018,BB2018,SO2018,SB2018,CS2018,HBP2018,SF2018,RA2018,ER2018,ERA2018,CG2018,SHO2018,SV2018,IPouts2018,HA2018,HRA2018,BBA2018,SOA2018,E2018,DP2018,FP2018,name2018,park2018,attendance2018,BPF2018,PPF2018,teamIDBR2018,teamIDlahman452018,teamIDretro2018,yearID2017,lgID2017,teamID2017,franchID2017,divID2017,Rank2017,G2017,Ghome2017,W2017,L2017,DivWin2017,WCWin2017,LgWin2017,WSWin2017,R2017,AB2017,H2017,2B2017,3B2017,HR2017,BB2017,SO2017,SB2017,CS2017,HBP2017,SF2017,RA2017,ER2017,ERA2017,CG2017,SHO2017,SV2017,IPouts2017,HA2017,HRA2017,BBA2017,SOA2017,E2017,DP2017,FP2017,name2017,park2017,attendance2017,BPF2017,PPF2017,teamIDBR2017,teamIDlahman452017,teamIDretro2017
2020,NL,ARI,ARI,W,5,60,30,25,35,N,N,N,N,269,1997,482,101,12,58,181,461,23,7,36,23,295,279,4.84,0,0,13,1555,506,93,235,524,35,54,0.983,Arizona Diamondbacks,Chase Field,0,102,102,ARI,ARI,ARI,2019,NL,ARI,ARI,W,2,162,81,85,77,N,N,N,N,813,5633,1419,288,40,220,540,1360,88,14,70,40,743,691,4.25,0,11,45,4395,1400,220,516,1427,86,136,0.986,Arizona Diamondbacks,Chase Field,2135510,101,101,ARI,ARI,ARI,2018,NL,ARI,ARI,W,3,162,81,82,80,N,N,N,N,693,5460,1283,259,50,176,560,1460,79,25,52,45,644,605,3.72,2,9,39,4389,1313,174,522,1448,75,152,0.988,Arizona Diamondbacks,Chase Field,2242695,108,107,ARI,ARI,ARI,2017,NL,ARI,ARI,W,2,162,81,93,69,N,Y,N,N,812,5525,1405,314,39,220,578,1456,103,30,54,27,659,586,3.66,2,11,43,4323,1309,171,516,1482,108,140,0.982,Arizona Diamondbacks,Chase Field,2134375,110,110,ARI,ARI,ARI
2020,NL,ATL,ATL,E,1,60,30,35,25,Y,N,N,N,348,2074,556,130,3,103,239,573,23,4,23,7,288,257,4.41,0,0,13,1573,494,69,220,506,33,52,0.985,Atlanta Braves,SunTrust Park,0,107,106,ATL,ATL,ATL,2019,NL,ATL,ATL,E,1,162,81,97,65,Y,N,N,N,855,5560,1432,277,29,249,619,1467,89,28,60,35,743,675,4.19,1,8,44,4352,1421,203,548,1393,78,154,0.987,Atlanta Braves,SunTrust Park,2655100,105,103,ATL,ATL,ATL,2018,NL,ATL,ATL,E,1,162,81,90,72,Y,N,N,N,759,5582,1433,314,29,175,511,1290,90,36,66,43,657,607,3.75,2,11,40,4370,1236,153,635,1423,80,134,0.986,Atlanta Braves,SunTrust Park,2555781,100,100,ATL,ATL,ATL,2017,NL,ATL,ATL,E,3,162,81,72,90,N,N,N,N,732,5584,1467,289,26,165,474,1184,77,31,66,32,821,756,4.72,0,6,36,4324,1463,192,584,1258,97,137,0.984,Atlanta Braves,SunTrust Park,2505252,98,98,ATL,ATL,ATL
2020,AL,BAL,BAL,E,4,60,33,25,35,N,N,N,N,274,2026,523,102,7,77,164,514,19,14,27,10,294,260,4.51,0,0,11,1556,489,79,192,487,43,42,0.98,Baltimore Orioles,Oriole Park at Camden Yards,0,100,102,BAL,BAL,BAL,2019,AL,BAL,BAL,E,5,162,81,54,108,N,N,N,N,729,5596,1379,252,25,213,462,1435,84,30,71,37,981,897,5.59,0,5,27,4329,1544,305,561,1248,108,155,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1307807,99,102,BAL,BAL,BAL,2018,AL,BAL,BAL,E,5,162,81,47,115,N,N,N,N,622,5507,1317,242,15,188,422,1412,81,22,57,35,892,824,5.18,2,7,28,4293,1552,234,589,1203,104,159,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1564192,96,97,BAL,BAL,BAL,2017,AL,BAL,BAL,E,5,162,81,75,87,N,N,N,N,743,5650,1469,269,12,232,392,1412,32,13,50,37,841,795,4.97,1,10,35,4323,1505,242,579,1233,94,175,0.984,Baltimore Orioles,Oriole Park at Camden Yards,2028424,98,99,BAL,BAL,BAL
2020,AL,BOS,BOS,E,5,60,31,24,36,N,N,N,N,292,2083,552,118,7,81,187,545,31,9,21,9,351,325,5.58,0,0,14,1572,587,98,252,537,45,59,0.979,Boston Red Sox,Fenway Park II,0,105,105,BOS,BOS,BOS,2019,AL,BOS,BOS,E,3,162,81,84,78,N,N,N,N,901,5770,1554,345,27,245,590,1382,68,30,49,44,828,768,4.7,1,8,33,4413,1423,215,605,1633,88,115,0.985,Boston Red Sox,Fenway Park II,2924627,105,104,BOS,BOS,BOS,2018,AL,BOS,BOS,E,1,162,81,108,54,Y,N,Y,Y,876,5623,1509,355,31,208,569,1253,125,31,55,48,647,608,3.75,2,14,46,4376,1305,176,512,1558,77,106,0.987,Boston Red Sox,Fenway Park II,2895575,104,102,BOS,BOS,BOS,2017,AL,BOS,BOS,E,1,162,81,93,69,Y,N,N,N,785,5669,1461,302,19,168,571,1224,106,31,53,36,668,610,3.7,5,11,39,4447,1384,195,465,1580,107,126,0.982,Boston Red Sox,Fenway Park II,2917678,105,104,BOS,BOS,BOS
2020,AL,CHA,CHW,C,2,60,30,35,25,N,Y,N,N,306,2047,534,94,6,96,179,571,20,8,24,13,246,223,3.81,1,1,13,1581,448,71,217,523,38,48,0.982,Chicago White Sox,Guaranteed Rate Field,0,99,100,CHW,CHA,CHA,2019,AL,CHA,CHW,C,3,161,80,72,89,N,N,N,N,708,5529,1443,260,20,182,378,1549,63,28,66,32,832,769,4.9,6,7,33,4238,1438,238,582,1312,117,171,0.98,Chicago White Sox,Guaranteed Rate Field,1649775,97,99,CHW,CHA,CHA,2018,AL,CHA,CHW,C,4,162,81,62,100,N,N,N,N,656,5523,1332,259,40,182,425,1594,98,41,66,32,848,771,4.83,0,8,34,4311,1404,196,653,1259,114,135,0.981,Chicago White Sox,Guaranteed Rate Field,1608817,97,98,CHW,CHA,CHA,2017,AL,CHA,CHW,C,4,162,81,67,95,N,N,N,N,706,5513,1412,256,37,186,401,1397,71,31,76,33,820,755,4.78,0,3,25,4265,1384,242,632,1193,114,157,0.981,Chicago White Sox,U.S. Cellular Field,1629470,98,98,CHW,CHA,CHA
2020,NL,CHN,CHC,C,1,60,33,34,26,Y,N,N,N,265,1918,422,82,8,74,229,568,24,10,52,13,240,230,3.99,2,2,16,1555,451,74,182,523,30,46,0.986,Chicago Cubs,Wrigley Field,0,100,99,CHC,CHN,CHN,2019,NL,CHN,CHC,C,3,162,81,84,78,N,N,N,N,814,5461,1378,270,26,256,581,1460,45,24,83,39,717,657,4.1,1,10,38,4326,1376,195,534,1444,118,141,0.981,Chicago Cubs,Wrigley Field,3094865,102,101,CHC,CHN,CHN,2018,NL,CHN,CHC,C,2,163,82,95,68,N,Y,N,N,761,5624,1453,286,34,167,576,1388,66,38,78,46,645,598,3.65,1,18,46,4429,1319,157,622,1333,104,155,0.983,Chicago Cubs,Wrigley Field,3181089,107,106,CHC,CHN,CHN,2017,NL,CHN,CHC,C,1,162,81,92,70,Y,N,N,N,822,5496,1402,274,29,223,622,1401,62,31,82,32,695,636,3.95,2,8,38,4342,1294,194,554,1439,95,139,0.984,Chicago Cubs,Wrigley Field,3199562,102,100,CHC,CHN,CHN
2020,NL,CIN,CIN,C,2,60,29,31,29,N,Y,N,N,243,1842,390,76,3,90,239,534,28,9,33,7,243,215,3.84,3,2,9,1512,401,67,213,615,27,36,0.986,Cincinnati Reds,Great American Ball Park,0,106,106,CIN,CIN,CIN,2019,NL,CIN,CIN,C,4,162,81,75,87,N,N,N,N,701,5450,1328,235,27,227,492,1436,80,38,89,33,711,668,4.18,0,10,46,4314,1270,214,536,1552,91,124,0.984,Cincinnati Reds,Great American Ball Park,1808685,103,103,CIN,CIN,CIN,2018,NL,CIN,CIN,C,5,162,81,67,95,N,N,N,N,696,5532,1404,251,25,172,559,1376,77,33,65,35,819,741,4.63,1,6,38,4323,1491,228,532,1258,95,144,0.984,Cincinnati Reds,Great American Ball Park,1629356,103,104,CIN,CIN,CIN,2017,NL,CIN,CIN,C,5,162,81,68,94,N,N,N,N,753,5484,1390,249,38,219,565,1329,120,39,72,42,869,821,5.17,2,8,33,4290,1442,248,631,1300,81,132,0.986,Cincinnati Reds,Great American Ball Park,1836917,100,101,CIN,CIN,CIN
2020,AL,CLE,CLE,C,2,60,30,35,25,N,Y,N,N,248,1959,446,96,5,59,239,517,25,10,24,16,209,196,3.29,1,0,20,1608,440,68,157,621,30,46,0.986,Cleveland Indians,Progressive Field,0,104,103,CLE,CLE,CLE,2019,AL,CLE,CLE,C,2,162,81,93,69,N,N,N,N,769,5425,1354,286,18,223,563,1332,103,35,50,46,657,601,3.76,6,16,42,4313,1308,207,450,1508,83,110,0.985,Cleveland Indians,Progressive Field,1738642,104,102,CLE,CLE,CLE,2018,AL,CLE,CLE,C,1,162,81,91,71,Y,N,N,N,818,5595,1447,297,19,216,554,1189,135,36,80,44,648,611,3.77,5,17,41,4372,1349,200,407,1544,83,123,0.986,Cleveland Indians,Progressive Field,1926701,104,102,CLE,CLE,CLE,2017,AL,CLE,CLE,C,1,162,81,102,60,Y,N,N,N,818,5511,1449,333,29,212,604,1153,88,23,50,45,564,529,3.3,7,19,37,4322,1267,163,406,1614,76,167,0.987,Cleveland Indians,Progressive Field,2048138,106,104,CLE,CLE,CLE
2020,NL,COL,COL,W,4,60,30,26,34,N,N,N,N,275,2057,528,84,16,63,161,543,42,9,10,19,353,327,5.59,1,0,16,1579,579,83,205,393,42,78,0.981,Colorado Rockies,Coors Field,0,116,117,COL,COL,COL,2019,NL,COL,COL,W,4,162,81,71,91,N,N,N,N,835,5660,1502,323,41,224,489,1503,71,31,43,43,958,895,5.56,1,5,28,4346,1576,270,589,1264,97,165,0.984,Colorado Rockies,Coors Field,2993244,118,118,COL,COL,COL,2018,NL,COL,COL,W,2,163,81,91,72,N,Y,N,N,780,5541,1418,280,42,210,507,1397,95,33,51,37,745,699,4.33,0,10,51,4357,1377,184,525,1409,74,162,0.988,Colorado Rockies,Coors Field,3015880,117,116,COL,COL,COL,2017,NL,COL,COL,W,3,162,81,87,75,N,Y,N,N,824,5534,1510,293,38,192,519,1408,59,34,44,41,757,721,4.51,1,9,47,4313,1453,190,532,1270,77,168,0.987,Colorado Rockies,Coors Field,2953650,115,115,COL,COL,COL
2020,AL,DET,DET,C,5,58,27,23,35,N,N,N,N,249,1893,463,78,12,62,147,567,19,6,19,14,318,308,5.63,1,0,11,1477,511,91,192,444,27,46,0.987,Detroit Tigers,Comerica Park,0,102,105,DET,DET,DET,2019,AL,DET,DET,C,5,161,81,47,114,N,N,N,N,582,5549,1333,292,41,149,391,1595,57,20,48,42,915,835,5.24,0,3,31,4299,1555,250,536,1368,110,127,0.981,Detroit Tigers,Comerica Park,1501430,102,104,DET,DET,DET,2018,AL,DET,DET,C,3,162,81,64,98,N,N,N,N,630,5494,1326,284,35,135,428,1341,70,30,52,40,796,726,4.58,0,2,37,4276,1423,216,491,1215,95,126,0.984,Detroit Tigers,Comerica Park,1856970,101,102,DET,DET,DET,2017,AL,DET,DET,C,5,162,81,64,98,N,N,N,N,735,5556,1435,289,35,187,503,1313,65,34,52,27,894,846,5.36,2,4,32,4261,1587,218,538,1202,84,146,0.985,Detroit Tigers,Comerica Park,2321599,103,104,DET,DET,DET
